energy,z,transition,intensity
19150.4,44,Kα2,53
19279.2,44,Kα1,100
19590.3,42,Kβ3,8
19608.3,42,Kβ1,15
19965.2,42,Kβ2,3
20073.7,45,Kα2,53
20167.1,92,Lγ1,15
20216.1,45,Kα1,100
20599.0,43,Kβ3,8
20619.0,43,Kβ1,16
21005.0,43,Kβ2,4
21020.1,46,Kα2,53
21177.1,46,Kα1,100
21634.6,44,Kβ3,8
21656.8,44,Kβ1,16
21990.3,47,Kα2,53
22074.0,44,Kβ2,4
22162.9,47,Kα1,100
22698.9,45,Kβ3,8
22723.6,45,Kβ1,16
22984.1,48,Kα2,53
23172.8,45,Kβ2,4
23173.6,48,Kα1,100
23791.1,46,Kβ3,8
23818.7,46,Kβ1,16
24002.0,49,Kα2,53
24209.7,49,Kα1,100
24299.1,46,Kβ2,4
24911.5,47,Kβ3,9
24942.4,47,Kβ1,16
25044.0,50,Kα2,53
25271.3,50,Kα1,100
25456.4,47,Kβ2,4
26061.2,48,Kβ3,9
26095.5,48,Kβ1,17
26110.8,51,Kα2,54
26359.1,51,Kα1,100
26643.8,48,Kβ2,4
27201.7,52,Kα2,54
27237.7,49,Kβ3,9
27275.9,49,Kβ1,17
27472.3,52,Kα1,100
27860.8,49,Kβ2,5
28317.2,53,Kα2,54
28444.0,50,Kβ3,9
28486.0,50,Kβ1,17
28612.0,53,Kα1,100
29109.3,50,Kβ2,5
29458.0,54,Kα2,54
29679.2,51,Kβ3,9
29725.6,51,Kβ1,18
29779.0,54,Kα1,100
30389.5,51,Kβ2,5
30625.1,55,Kα2,54
30944.3,52,Kα2,9
30972.8,55,Kα1,100
30995.7,52,Kβ1,18
31700.4,52,Kβ2,5
31817.1,56,Kα2,54
32193.6,56,Kα1,100
32239.4,53,Kβ3,9
32294.7,53,Kβ1,18
33034.1,57,Kα2,54
33042.0,53,Kβ2,5
33441.8,57,Kα1,100
33562.0,54,Kβ3,9
33624.0,54,Kβ1,18
34278.9,58,Kα2,55
34415.0,54,Kβ2,5
34719.7,58,Kα1,100
34919.4,55,Kβ3,9
34986.9,55,Kβ1,18
35550.2,59,Kα2,55
35822.0,55,Kβ2,6
36026.3,59,Kα1,100
36304.0,56,Kβ3,10
36378.2,56,Kβ1,18
36847.4,60,Kα2,55
37257.0,56,Kβ2,6
37361.0,60,Kα1,100
37720.2,57,Kβ3,10
37801.0,57,Kβ1,19
38171.2,61,Kα2,55
38724.7,61,Kα1,100
38729.9,57,Kβ2,6
39170.1,58,Kβ3,10
39257.3,58,Kβ1,19
39522.4,62,Kα2,55
40118.1,62,Kα1,100
40233.0,58,Kβ2,6
40652.9,59,Kβ3,10
40748.2,59,Kβ1,19
40901.9,63,Kα2,56
41542.2,63,Kα1,100
41773.0,59,Kβ2,6
42166.5,60,Kβ3,10
42271.3,60,Kβ1,19
42308.9,64,Kα2,56
42996.2,64,Kα1,100
43335.0,60,Kβ2,6
43713.0,61,Kβ3,10
43744.1,65,Kα2,56
43826.0,61,Kβ1,19
44481.6,65,Kα1,100
44942.0,61,Kβ2,6
45207.8,66,Kα2,56
45289.0,62,Kβ3,10
45413.0,62,Kβ1,19
45998.4,66,Kα1,100
46578.0,62,Kβ2,6
46699.7,67,Kα2,56
46903.6,63,Kβ3,10
47037.9,63,Kβ1,19
47546.7,67,Kα1,100
48221.1,68,Kα2,56
48256.0,63,Kβ2,6
48555.0,64,Kβ3,10
48697.0,64,Kβ1,20
49127.7,68,Kα1,100
49772.6,69,Kα2,57
49959.0,64,Kβ2,7
50229.0,65,Kβ3,10
50382.0,65,Kβ1,20
50741.6,69,Kα1,100
51354.0,70,Kα2,57
51698.0,65,Kβ2,7
51957.0,66,Kβ3,10
52119.0,66,Kβ1,20
52388.9,70,Kα1,100
52965.0,71,Kα2,57
53476.0,66,Kβ2,7
53711.0,67,Kβ3,11
53877.0,67,Kβ1,20
54069.8,71,Kα1,100
54611.4,72,Kα2,57
55293.0,67,Kβ2,7
55494.0,68,Kβ3,11
55681.0,68,Kβ1,21
55790.2,72,Kα1,100
56277.0,73,Kα2,57
57210.0,68,Kβ2,7
57304.0,69,Kβ3,11
57517.0,69,Kβ1,21
57532.0,73,Kα1,100
57981.7,74,Kα2,58
59090.0,69,Kβ2,7
59140.0,70,Kβ3,11
59318.2,74,Kα1,100
59370.0,70,Kβ1,21
59717.9,75,Kα2,58
60980.0,70,Kβ2,7
61050.0,71,Kβ3,11
61140.3,75,Kα1,100
61283.0,71,Kβ1,21
61486.7,76,Kα2,58
62970.0,71,Kβ2,7
62980.0,72,Kβ3,11
63000.5,76,Kα1,100
63234.0,72,Kβ1,22
63286.7,77,Kα2,58
64895.6,77,Kα1,100
64948.8,73,Kβ3,11
64980.0,72,Kβ2,7
65112.0,78,Kα2,58
65223.0,73,Kβ1,22
66832.0,78,Kα1,100
66951.4,74,Kβ3,11
66989.5,79,Kα2,59
66990.0,73,Kβ2,7
67244.3,74,Kβ1,22
68803.7,79,Kα1,100
68895.0,80,Kα2,59
68994.0,75,Kβ3,12
69067.0,74,Kβ2,8
69310.0,75,Kβ1,22
70819.0,80,Kα1,100
70831.9,81,Kα2,60
71077.0,76,Kβ3,12
71232.0,75,Kβ2,8
71413.0,76,Kβ1,23
72804.2,82,Kα2,60
72871.5,81,Kα1,100
73202.7,77,Kβ3,12
73363.0,76,Kβ2,8
73560.8,77,Kβ1,23
74814.8,83,Kα2,60
74969.4,82,Kα1,100
75368.0,78,Kβ3,12
75575.0,77,Kβ2,8
75748.0,78,Kβ1,23
77107.9,83,Kα1,100
77580.0,79,Kβ3,12
77850.0,78,Kβ2,8
77984.0,79,Kβ1,23
79822.0,80,Kβ3,12
80150.0,79,Kβ2,8
80253.0,80,Kβ1,23
82118.0,81,Kβ3,12
82515.0,80,Kβ2,8
82576.0,81,Kβ1,23
84450.0,82,Kβ3,12
84910.0,81,Kβ2,8
84936.0,82,Kβ1,23
86834.0,83,Kβ3,12
87320.0,82,Kβ2,8
87343.0,83,Kβ1,23
89830.0,83,Kβ2,9
89953.0,90,Kα2,62
93350.0,90,Kα1,100
94665.0,92,Kα2,62
98439.0,92,Kα1,100
104831.0,90,Kβ3,12
105609.0,90,Kβ1,24
108640.0,90,Kβ2,9
110406.0,92,Kβ3,13
111300.0,92,Kβ1,24
114530.0,92,Kβ2,9
