Nuclide ; Ac-225 
Element ; Actinium
Z ; 89
Daughter(s) ; (alpha) ; Fr-221 ; 100
Qalpha ; 5935.1
Possible parent(s) ; (B-) ; Ra-225 ; 100
Half-life (d) ; 9.9172 ; 0.0021
Half-life (s) ; 856.85E3 ; 0.18E3
Decay constant (1/s) ; 808.95E-9 ; 0.17E-9
Specific activity (Bq/g) ; 2.16517E15 ; 0.00046E15
Reference ; LNHB; CNDC - 2023
Emissions (194 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
282.201 ; 0.046 ; 0.00055 ; 0.00005 ; g ; Fr-221 ; 36 ; 21 ; 
284.896 ; 0.021 ; 0.0074 ; 0.0006 ; g ; Fr-221 ; 23 ; 7 ; 
298.33 ; 0.06 ; 0.0020 ; 0.0003 ; g ; Fr-221 ; 25 ; 7 ; 
317.119 ; 0.032 ; 0.00042 ; 0.00021 ; g ; Fr-221 ; 34 ; 13 ; 
321.753 ; 0.041 ; 0.0033 ; 0.0004 ; g ; Fr-221 ; 27 ; 6 ; 
348.35 ; 0.04 ; 0.0030 ; 0.0003 ; g ; Fr-221 ; 21 ; 0 ; 
354.754 ; 0.022 ; 0.0020 ; 0.0007 ; g ; Fr-221 ; 23 ; 3 ; 
356.023 ; 0.020 ; 0.00026 ; 0.00011 ; g ; Fr-221 ; 33 ; 10 ; 
362.394 ; 0.042 ; 0.0054 ; 0.0005 ; g ; Fr-221 ; 24 ; 3 ; 
367.74 ; 0.12 ; 0.00052 ; 0.00018 ; g ; Fr-221 ; 22 ; 0 ; 
374.881 ; 0.032 ; 0.0019 ; 0.0005 ; g ; Fr-221 ; 34 ; 10 ; 
388.10 ; 0.07 ; 0.00125 ; 0.00021 ; g ; Fr-221 ; 31 ; 7 ; 
403.130 ; 0.035 ; 0.00019 ; 0.00016 ; g ; Fr-221 ; 37 ; 12 ; 
406.057 ; 0.026 ; 0.0078 ; 0.0005 ; g ; Fr-221 ; 33 ; 8 ; 
417.882 ; 0.030 ; 0.0056 ; 0.0005 ; g ; Fr-221 ; 32 ; 5 ; 
429.43 ; 0.08 ; 0.00038 ; 0.00019 ; g ; Fr-221 ; 47 ; 27 ; 
434.762 ; 0.025 ; 0.0029 ; 0.0003 ; g ; Fr-221 ; 36 ; 10 ; 
442.10 ; 0.09 ; 0.0045 ; 0.0007 ; g ; Fr-221 ; 40 ; 14 ; 
443.408 ; 0.020 ; 0.0014 ; 0.0005 ; g ; Fr-221 ; 33 ; 7 ; 
443.43 ; 0.10 ; 0.0001 ;  ; g ; Fr-221 ; 30 ; 3 ; 
446.31 ; 0.10 ; 0.0006 ; 0.0004 ; g ; Fr-221 ; 28 ; 0 ; 
450.915 ; 0.020 ; 0.0030 ; 0.0005 ; g ; Fr-221 ; 33 ; 6 ; 
452.216 ; 0.021 ; 0.107 ; 0.008 ; g ; Fr-221 ; 33 ; 4 ; 
458.74 ; 0.06 ; 0.00053 ; 0.00013 ; g ; Fr-221 ; 29 ; 0 ; 
462.266 ; 0.032 ; 0.00044 ; 0.00011 ; g ; Fr-221 ; 34 ; 7 ; 
469.773 ; 0.032 ; 0.0028 ; 0.0004 ; g ; Fr-221 ; 34 ; 6 ; 
480.988 ; 0.027 ; 0.0340 ; 0.0022 ; g ; Fr-221 ; 32 ; 2 ; 
491.778 ; 0.030 ; 0.00035 ; 0.00014 ; g ; Fr-221 ; 32 ; 1 ; 
496.50 ; 0.07 ; 0.0015 ; 0.0007 ; g ; Fr-221 ; 31 ; 0 ; 
498.6 ; 0.6 ; 0.00083 ; 0.00021 ; g ; Fr-221 ; 45 ; 19 ; 
513.265 ; 0.021 ; 0.00055 ; 0.00021 ; g ; Fr-221 ; 33 ; 3 ; 
515.165 ; 0.020 ; 0.0214 ; 0.0013 ; g ; Fr-221 ; 33 ; 2 ; 
517.633 ; 0.025 ; 0.0159 ; 0.0010 ; g ; Fr-221 ; 32 ; 0 ; 
522.146 ; 0.025 ; 0.00208 ; 0.00015 ; g ; Fr-221 ; 36 ; 7 ; 
525.955 ; 0.024 ; 0.0353 ; 0.0022 ; g ; Fr-221 ; 33 ; 1 ; 
529.653 ; 0.025 ; 0.0076 ; 0.0007 ; g ; Fr-221 ; 36 ; 6 ; 
530.954 ; 0.026 ; 0.0047 ; 0.0005 ; g ; Fr-221 ; 36 ; 4 ; 
532.123 ; 0.032 ; 0.00076 ; 0.00021 ; g ; Fr-221 ; 34 ; 3 ; 
538.003 ; 0.033 ; 0.0038 ; 0.0010 ; g ; Fr-221 ; 37 ; 4 ; 
544.85 ; 0.06 ; 0.00053 ; 0.00014 ; g ; Fr-221 ; 43 ; 12 ; 
551.811 ; 0.017 ; 0.0052 ; 0.0014 ; g ; Fr-221 ; 33 ; 0 ; 
564.293 ; 0.032 ; 0.00022 ; 0.00009 ; g ; Fr-221 ; 35 ; 2 ; 
567.48 ; 0.06 ; 0.0012 ; 0.0004 ; g ; Fr-221 ; 40 ; 8 ; 
570.669 ; 0.030 ; 0.0040 ; 0.0005 ; g ; Fr-221 ; 34 ; 0 ; 
