Nuclide ; Sn-129m 
Element ; Tin
Z ; 50
Daughter(s) ; (B-) ; Sb-129 ; 100
Q- ; 4074
Half-life (min) ; 6.96 ; 0.09
Half-life (s) ; 418 ; 5
Decay constant (1/s) ; 1.660E-3 ; 0.021E-3
Specific activity (Bq/g) ; 7.75E18 ; 0.10E18
Reference ; LNE-LNHB - 2024
X and gamma emissions (101 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
1155.70 ; 0.07 ; 7.005 ; 0.030 ; g ; Sb-129 ; 21 ; 2 ; 
1161.344 ; 0.040 ; 42.555 ; 0.043 ; g ; Sb-129 ; 2 ; 0 ; 
1174.69 ; 0.08 ; 0.609 ; 0.039 ; g ; Sb-129 ; 20 ; 1 ; 
1185.81 ; 0.21 ; 0.824 ; 0.035 ; g ; Sb-129 ; 46 ; 5 ; 
1188.49 ; 0.07 ; 2.503 ; 0.043 ; g ; Sb-129 ; 21 ; 1 ; 
1207.77 ; 0.09 ; 2.974 ; 0.026 ; g ; Sb-129 ; 23 ; 2 ; 
1225.80 ; 0.09 ; 2.266 ; 0.026 ; g ; Sb-129 ; 48 ; 6 ; 
1240.56 ; 0.09 ; 0.742 ; 0.039 ; g ; Sb-129 ; 23 ; 1 ; 
1268.90 ; 0.08 ; 0.733 ; 0.043 ; g ; Sb-129 ; 25 ; 2 ; 
1301.40 ; 0.12 ; 0.117 ; 0.017 ; g ; Sb-129 ; 51 ; 9 ; 
1352.07 ; 0.12 ; 1.77 ; 0.17 ; g ; Sb-129 ; 52 ; 7 ; 
1406.86 ; 0.09 ; 0.971 ; 0.013 ; g ; Sb-129 ; 28 ; 2 ; 
1436.08 ; 0.11 ; 2.383 ; 0.030 ; g ; Sb-129 ; 27 ; 1 ; 
1449.83 ; 0.09 ; 0.509 ; 0.017 ; g ; Sb-129 ; 29 ; 2 ; 
1503.62 ; 0.09 ; 2.007 ; 0.030 ; g ; Sb-129 ; 30 ; 2 ; 
1549.68 ; 0.10 ; 0.203 ; 0.017 ; g ; Sb-129 ; 31 ; 1 ; 
1597.55 ; 0.09 ; 1.778 ; 0.026 ; g ; Sb-129 ; 34 ; 1 ; 
1635.40 ; 0.21 ; 0.773 ; 0.017 ; g ; Sb-129 ; 36 ; 2 ; 
1720.55 ; 0.16 ; 1.373 ; 0.017 ; g ; Sb-129 ; 39 ; 2 ; 
1755.66 ; 0.11 ; 1.511 ; 0.043 ; g ; Sb-129 ; 40 ; 1 ; 
1819.60 ; 0.21 ; 0.345 ; 0.009 ; g ; Sb-129 ; 41 ; 1 ; 
1831.93 ; 0.40 ; 1.032 ; 0.013 ; g ; Sb-129 ; 42 ; 1 ; 
1885.23 ; 0.40 ; 0.237 ; 0.013 ; g ; Sb-129 ; 43 ; 1 ; 
2035.39 ; 0.12 ; 0.423 ; 0.013 ; g ; Sb-129 ; 49 ; 1 ; 
2145.44 ; 0.12 ; 3.164 ; 0.030 ; g ; Sb-129 ; 51 ; 1 ; 
==================================================================================================================
